Field_ID,Type,Required,Controlled_Values,Description,Version
assessment_metadata,,YES,,,v4.2
system_profile,,YES,,,v4.2
profile_selection,,YES,,,v4.2
claim_register,array,YES,,,v4.2
claim_register[],,NO,,,v4.2
evidence_register,array,YES,,,v4.2
evidence_register[],,NO,,,v4.2
endpoint_register,array,YES,,,v4.2
endpoint_register[],,NO,,,v4.2
requirement_findings,array,YES,,,v4.2
requirement_findings[],,NO,,,v4.2
gap_register,array,YES,,,v4.2
gap_register[],,NO,,,v4.2
assessment_notes,array,NO,,,v4.2
assessment_notes[],string,NO,,,v4.2
deployment_state,,YES,,,v4.2
configuration_relationships,array,YES,,,v4.2
configuration_relationships[],,NO,,,v4.2
source_version_relationships,array,YES,,,v4.2
source_version_relationships[],,NO,,,v4.2
provenance_discrepancies,array,YES,,,v4.2
provenance_discrepancies[],,NO,,,v4.2
configuration_epochs,array,YES,,,v4.2
configuration_epochs[],,NO,,,v4.2
denominator_register,array,YES,,,v4.2
denominator_register[],,NO,,,v4.2
functional_contribution_register,array,YES,,,v4.2
functional_contribution_register[],,NO,,,v4.2
independence_assessment,array,YES,,,v4.2
independence_assessment[],,NO,,,v4.2
latency_register,array,YES,,,v4.2
latency_register[],,NO,,,v4.2
control_authority_register,array,YES,,,v4.2
control_authority_register[],,NO,,,v4.2
operational_burden_register,array,YES,,,v4.2
operational_burden_register[],,NO,,,v4.2
update_lineage_register,array,YES,,,v4.2
update_lineage_register[],,NO,,,v4.2
participant_authority_register,array,YES,,,v4.2
participant_authority_register[],,NO,,,v4.2
postmarket_exposure_register,array,YES,,,v4.2
postmarket_exposure_register[],,NO,,,v4.2
reproducibility_register,array,YES,,,v4.2
reproducibility_register[],,NO,,,v4.2
decision_register,array,YES,,,v4.2
decision_register[],,NO,,,v4.2
legacy_bounded_decision,,NO,,,v4.2
migration_provenance,,NO,,,v4.2
$defs.assessment_metadata,object,NO,,,v4.2
$defs.assessment_metadata.assessment_id,string,YES,,,v4.2
$defs.assessment_metadata.instrument_version,,YES,,,v4.2
